Agency,Organization,Account Type,Character Code,Object,2015,2016,2017,2018
50 -  LIBRARY,50100 - LIB PUBLIC SERVICE,Revenue,41 - GENERAL REVENUES,41110 - REAL ESTATE TAXES," 	(11,355,535)"," 	(11,941,627)"," 	(12,603,779)"," 	(13,080,448)"
43 -  TRANSPORTATION,43100 - TRANSPORTATION MANAGEMENT,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT, 	-   , 	-   , 	-   ," 	9,422 "
31 -  POLICE,31115 - MIDTOWN,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES, 	-   , 	-   , 	-   ," 	9,869 "
51 -  PARKS,51210 - PARK MTC FOREST ADMIN,Expense,57 - INTER DEPART CHARGES,57141 - ID CHARGE FROM FLEET SERVICES, 	-   , 	-   , 	-   ," 	11,991 "
50 -  LIBRARY,50400760 - LIB FAC SUPPORT CENTER BADGER,Expense,54 - PURCHASED SERVICES,54112 - ELECTRICITY, 	-   , 	-   , 	-   ," 	12,264 "
45 -  TRAFFIC ENGINEERING,45100 - TE SIGNING,Expense,54 - PURCHASED SERVICES,54350 - LEASE RENTAL OF EQUIPMENT, 	-   , 	-   , 	-   ," 	12,659 "
51 -  PARKS,51147 - PARK RANGERS,Expense,52 - BENEFITS,52110 - COMPENSATED ABSENCE ESCROW, 	-   , 	-   , 	-   ," 	18,608 "
51 -  PARKS,51220 - PARK MTC FORESTRY GENERAL,Expense,54 - PURCHASED SERVICES,54220 - PEST CONTROL, 	-   , 	-   , 	-   ," 	19,722 "
16 -  HUMAN RESOURCES,16300 - HR ORGANIZATIONAL & HEALTH DEV,Expense,51 - SALARIES,51210 - HOURLY WAGES, 	-   , 	-   , 	-   ," 	19,950 "
16 -  HUMAN RESOURCES,16100 - HR SERVICES,Expense,52 - BENEFITS,52110 - COMPENSATED ABSENCE ESCROW, 	-   , 	-   , 	-   ," 	20,427 "
40 -  ENGINEERING,40471 - ENG FAC MAINT BUILDING MAINT,Expense,52 - BENEFITS,52110 - COMPENSATED ABSENCE ESCROW, 	-   , 	-   , 	-   ," 	25,068 "
30 -  FIRE,30114 - FIRE HAZARDOUS INCIDENT TEAM,Expense,54 - PURCHASED SERVICES,54525 - IN SERVICE TRAINING, 	-   , 	-   , 	-   ," 	26,800 "
62 -  COMMUNITY DEVELOPMENT,62448 - CHILD CARE SERVICES,Expense,54 - PURCHASED SERVICES,54645 - CONSULTING SERVICES, 	-   , 	-   , 	-   ," 	27,625 "
44 -  STREETS,44220 - ST RECYCLING COLLECTION,Expense,52 - BENEFITS,52110 - COMPENSATED ABSENCE ESCROW, 	-   , 	-   , 	-   ," 	34,384 "
10 -  ASSESSOR,10130 - ASSESSOR COMMERCIAL,Expense,52 - BENEFITS,52110 - COMPENSATED ABSENCE ESCROW, 	-   , 	-   , 	-   ," 	62,267 "
43 -  TRANSPORTATION,43100 - TRANSPORTATION MANAGEMENT,Expense,51 - SALARIES,51110 - PERMANENT WAGES, 	-   , 	-   , 	-   ," 	78,731 "
50 -  LIBRARY,50400751 - LIB FACILITIES CENTRAL,Expense,52 - BENEFITS,52110 - COMPENSATED ABSENCE ESCROW, 	-   , 	-   , 	-   ," 	81,628 "
10 -  ASSESSOR,10110 - ASSESSOR RESIDENTIAL,Expense,52 - BENEFITS,52110 - COMPENSATED ABSENCE ESCROW, 	-   , 	-   , 	-   ," 	93,313 "
63 -  ECONOMIC DEVELOPMENT,63221 - EDD OBR ECON DEV BUSINESS ASST,Expense,52 - BENEFITS,52711 - TUITION, 	-   , 	-   , 	0 , 	-   
63 -  ECONOMIC DEVELOPMENT,63330 - EDD RE ACQUISITIONS DISPOSALS,Expense,52 - BENEFITS,52711 - TUITION, 	-   , 	-   , 	0 , 	-   
44 -  STREETS,44401 - ST STREET SWEEPING ADMIN,Expense,54 - PURCHASED SERVICES,54210 - BUILDING IMPROV REPAIR MAINT, 	-   , 	-   , 	0 , 	-   
44 -  STREETS,44601 - ST ROADSIDE CLEANUP ADMIN,Expense,54 - PURCHASED SERVICES,54210 - BUILDING IMPROV REPAIR MAINT, 	-   , 	-   , 	0 , 	-   
44 -  STREETS,44201 - ST RECYCLING ADMIN,Expense,54 - PURCHASED SERVICES,54210 - BUILDING IMPROV REPAIR MAINT, 	-   , 	-   , 	0 , 	105 
44 -  STREETS,44501 - ST STREET REPAIR MAINT ADMIN,Expense,54 - PURCHASED SERVICES,54210 - BUILDING IMPROV REPAIR MAINT, 	-   , 	-   , 	0 , 	105 
30 -  FIRE,30110702 - FIRE GEN FIELD OP STATION 2,Expense,52 - BENEFITS,52420 - HEALTH INSURANCE RETIREE, 	-   , 	-   , 	0 , 	-   
40 -  ENGINEERING,40411 - ENG FAC MAINT EMP LEAVE,Expense,51 - SALARIES,51120 - PREMIUM PAY, 	-   , 	-   , 	0 , 	-   
45 -  TRAFFIC ENGINEERING,45664 - TE SERVICES PUBLIC PASSNGR VEH,Expense,51 - SALARIES,51120 - PREMIUM PAY, 	-   , 	-   , 	1 , 	5 
62 -  COMMUNITY DEVELOPMENT,62331 - NBRHD CTRS AND CMTY GARDENS GF,Expense,51 - SALARIES,51120 - PREMIUM PAY, 	-   , 	-   , 	1 , 	-   
62 -  COMMUNITY DEVELOPMENT,62551 - CD DIVISION 27 PRGM ADMIN,Expense,51 - SALARIES,51120 - PREMIUM PAY, 	-   , 	-   , 	2 , 	-   
30 -  FIRE,30110701 - FIRE GEN FIELD OP STATION 1,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT, 	-   , 	-   , 	2 , 	-   
40 -  ENGINEERING,40136 - ENG SIDEWALKS TERRACE PERMIT,Expense,51 - SALARIES,51320 - OVERTIME WAGES HOURLY, 	-   , 	-   , 	2 , 	-   
31 -  POLICE,31146 - SPECIAL INVESTIGATIONS UNITS,Expense,54 - PURCHASED SERVICES,54633 - DELIVERY FREIGHT CHARGES, 	-   , 	-   , 	2 , 	-   
45 -  TRAFFIC ENGINEERING,45201 - TE STLIGHT ADMIN,Expense,51 - SALARIES,51120 - PREMIUM PAY, 	-   , 	-   , 	3 , 	-   
45 -  TRAFFIC ENGINEERING,45502 - TE SIGNALS PLAN AND REVIEW,Expense,51 - SALARIES,51120 - PREMIUM PAY, 	-   , 	-   , 	3 , 	5 
62 -  COMMUNITY DEVELOPMENT,62224 - YOUTH EMPLMT OPPS AND TRAINING,Expense,51 - SALARIES,51120 - PREMIUM PAY, 	-   , 	-   , 	3 , 	-   
15 -  FINANCE,15230 - FIN INTERNAL AUDIT,Expense,54 - PURCHASED SERVICES,54120 - TELEPHONE, 	-   , 	-   , 	4 , 	-   
15 -  FINANCE,15300 - FIN RISK MGMT,Expense,54 - PURCHASED SERVICES,54320 - COMMUNICATION DEVICE RPR MAIN, 	-   , 	-   , 	4 , 	-   
15 -  FINANCE,15300 - FIN RISK MGMT,Expense,54 - PURCHASED SERVICES,54515 - MILEAGE, 	-   , 	-   , 	4 , 	-   
30 -  FIRE,30280 - FIRE COMMUNITY OUTREACH & EDUC,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM, 	-   , 	-   , 	4 , 	-   
31 -  POLICE,31103 - COMMUNITY OUTREACH,Expense,52 - BENEFITS,52420 - HEALTH INSURANCE RETIREE, 	-   , 	-   , 	4 , 	-   
30 -  FIRE,30280 - FIRE COMMUNITY OUTREACH & EDUC,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS, 	-   , 	-   , 	4 , 	-   
14 -  COMMON COUNCIL,14100604 - COMMON COUNCIL DIST 4,Expense,53 - SUPPLIES,53165 - BOOKS AND SUBSCRIPTIONS, 	-   , 	-   , 	5 , 	-   
14 -  COMMON COUNCIL,14100605 - COMMON COUNCIL DIST 5,Expense,53 - SUPPLIES,53165 - BOOKS AND SUBSCRIPTIONS, 	-   , 	-   , 	5 , 	-   
14 -  COMMON COUNCIL,14100608 - COMMON COUNCIL DIST 8,Expense,53 - SUPPLIES,53165 - BOOKS AND SUBSCRIPTIONS, 	-   , 	-   , 	5 , 	-   
14 -  COMMON COUNCIL,14100613 - COMMON COUNCIL DIST 13,Expense,53 - SUPPLIES,53165 - BOOKS AND SUBSCRIPTIONS, 	-   , 	-   , 	5 , 	-   
30 -  FIRE,30250 - FIRE INSPECTION GENERAL,Expense,54 - PURCHASED SERVICES,54810 - OTHER SERVICES AND EXPENSES, 	-   , 	-   , 	6 , 	-   
31 -  POLICE,31283 - GENERAL ADMINISTRATION,Expense,52 - BENEFITS,52420 - HEALTH INSURANCE RETIREE, 	-   , 	-   , 	6 , 	2 
31 -  POLICE,31278 - PERSONNEL,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES, 	-   , 	-   , 	6 , 	132 
50 -  LIBRARY,50400752 - LIB FACILITIES HAWTHORNE,Expense,53 - SUPPLIES,53315 - BUILDING SUPPLIES, 	-   , 	-   , 	8 , 	526 
51 -  PARKS,51310 - PARK PLANNING DEVELOP ADMIN,Expense,57 - INTER DEPART CHARGES,57145 - ID CHARGE FROM TRAFFIC ENGINEE, 	-   , 	-   , 	8 , 	-   
51 -  PARKS,51220 - PARK MTC FORESTRY GENERAL,Expense,53 - SUPPLIES,53150 - POSTAGE, 	-   , 	-   , 	9 , 	914 
44 -  STREETS,44441 - ST HAND SWEEPING,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT, 	-   , 	-   , 	9 , 	-   
30 -  FIRE,30110724 - FIRE GEN FLD OP COM OUTR EDC C,Expense,53 - SUPPLIES,53413 - EQUIPMENT SUPPLIES, 	-   , 	-   , 	9 , 	-   
15 -  FINANCE,15110 - FIN ACCOUNTING PAYROLL,Expense,54 - PURCHASED SERVICES,54320 - COMMUNICATION DEVICE RPR MAIN, 	-   , 	-   , 	10 , 	-   
15 -  FINANCE,15111 - FIN ACCOUNTING PURCHASING,Expense,54 - PURCHASED SERVICES,54320 - COMMUNICATION DEVICE RPR MAIN, 	-   , 	-   , 	10 , 	-   
15 -  FINANCE,15400 - FIN ADMIN SUPPORT,Expense,54 - PURCHASED SERVICES,54320 - COMMUNICATION DEVICE RPR MAIN, 	-   , 	-   , 	11 , 	-   
44 -  STREETS,44661 - ST STUMP REMOVALS,Expense,51 - SALARIES,51320 - OVERTIME WAGES HOURLY, 	-   , 	-   , 	11 , 	19 
40 -  ENGINEERING,40110 - ENG ADMIN DIVISION,Expense,54 - PURCHASED SERVICES,54515 - MILEAGE, 	-   , 	-   , 	12 , 	11 
62 -  COMMUNITY DEVELOPMENT,62441 - YOUTH SERVICES,Expense,53 - SUPPLIES,53120 - COPY PRINTING SUPPLIES, 	-   , 	-   , 	13 , 	-   
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES, 	-   , 	-   , 	16 , 	-   
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,54 - PURCHASED SERVICES,54810 - OTHER SERVICES AND EXPENSES, 	-   , 	-   , 	16 , 	10 
51 -  PARKS,51180 - PARK COM REC OLBRICH GENERAL,Expense,54 - PURCHASED SERVICES,54215 - WASTE DISPOSAL, 	-   , 	-   , 	20 , 	-   
30 -  FIRE,30110720 - FIRE GEN FIELD OP ADMIN,Expense,54 - PURCHASED SERVICES,54880 - PERMITS AND LICENSES, 	-   , 	-   , 	20 , 	-   
62 -  COMMUNITY DEVELOPMENT,62551 - CD DIVISION 27 PRGM ADMIN,Expense,54 - PURCHASED SERVICES,54880 - PERMITS AND LICENSES, 	-   , 	-   , 	20 , 	-   
31 -  POLICE,31135 - SOUTH,Expense,54 - PURCHASED SERVICES,54810 - OTHER SERVICES AND EXPENSES, 	-   , 	-   , 	20 , 	3 
45 -  TRAFFIC ENGINEERING,45880 - TE PED BIKE REGISTRATION,Expense,54 - PURCHASED SERVICES,54810 - OTHER SERVICES AND EXPENSES, 	-   , 	-   , 	20 , 	12 
30 -  FIRE,30120 - FIRE MEDICAL PROGRAM GENERAL,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES, 	-   , 	-   , 	23 , 	-   
45 -  TRAFFIC ENGINEERING,45204 - TE STLIGHT INSTALL OR REMOVE,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES, 	-   , 	-   , 	23 , 	-   
15 -  FINANCE,15400 - FIN ADMIN SUPPORT,Expense,53 - SUPPLIES,53140 - HARDWARE SUPPLIES, 	-   , 	-   , 	24 , 	-   
15 -  FINANCE,15300 - FIN RISK MGMT,Expense,53 - SUPPLIES,53140 - HARDWARE SUPPLIES, 	-   , 	-   , 	24 , 	-   
65 -  PLANNING,65115 - PL TIF CDA REDEVELOPMENT PLAN,Expense,54 - PURCHASED SERVICES,54520 - CONFERENCES AND TRAINING, 	-   , 	-   , 	25 , 	-   
50 -  LIBRARY,50221753 - LIB COMM ENGAGE YOUTH ASHMAN,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES, 	-   , 	-   , 	26 , 	-   
50 -  LIBRARY,50224755 - LIB COMM ENGAGE ALL AGES MEA,Expense,53 - SUPPLIES,53155 - PROGRAM SUPPLIES, 	-   , 	-   , 	27 , 	-   
30 -  FIRE,30110701 - FIRE GEN FIELD OP STATION 1,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM, 	-   , 	-   , 	29 , 	-   
30 -  FIRE,30250 - FIRE INSPECTION GENERAL,Expense,54 - PURCHASED SERVICES,54120 - TELEPHONE, 	-   , 	-   , 	29 , 	74 
31 -  POLICE,31156 - PARKING,Expense,54 - PURCHASED SERVICES,54545 - MEDICAL SERVICES, 	-   , 	-   , 	29 , 	-   
50 -  LIBRARY,50300757 - LIB COL RES & ACCESS PINNEY,Revenue,45 - FINE FORFEITURE ASMT,45210 - LIBRARY FINES, 	-   , 	-   , 	29 , 	-   
50 -  LIBRARY,50400754 - LIB FACILITIES LAKEVIEW,Expense,53 - SUPPLIES,53413 - EQUIPMENT SUPPLIES, 	-   , 	-   , 	30 , 	38 
30 -  FIRE,30110701 - FIRE GEN FIELD OP STATION 1,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS, 	-   , 	-   , 	31 , 	-   
40 -  ENGINEERING,40112 - ENG ADMIN SERVICE BUILDING MTC,Expense,51 - SALARIES,51210 - HOURLY WAGES, 	-   , 	-   , 	33 , 	-   
51 -  PARKS,51150 - PARK COM REC COM SERVICES,Expense,54 - PURCHASED SERVICES,54515 - MILEAGE, 	-   , 	-   , 	35 , 	-   
44 -  STREETS,44110 - ST REFUSE COLLECTION,Expense,54 - PURCHASED SERVICES,54121 - CELLULAR TELEPHONE, 	-   , 	-   , 	35 , 	750 
51 -  PARKS,51246 - PARK MTC CONSERVATION,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES, 	-   , 	-   , 	36 , 	93 
40 -  ENGINEERING,40360 - ENG FAC MGMT ADMIN,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES, 	-   , 	-   , 	37 , 	523 
45 -  TRAFFIC ENGINEERING,45501 - TE SIGNALS ADMIN,Expense,52 - BENEFITS,52714 - LICENSES AND CERTIFICATIONS, 	-   , 	-   , 	39 , 	-   
44 -  STREETS,44601 - ST ROADSIDE CLEANUP ADMIN,Expense,54 - PURCHASED SERVICES,54655 - PRINTING SERVICES, 	-   , 	-   , 	40 , 	-   
31 -  POLICE,31146 - SPECIAL INVESTIGATIONS UNITS,Expense,54 - PURCHASED SERVICES,54810 - OTHER SERVICES AND EXPENSES, 	-   , 	-   , 	40 , 	-   
51 -  PARKS,51242 - PARK MTC WEST PARKS,Expense,54 - PURCHASED SERVICES,54880 - PERMITS AND LICENSES, 	-   , 	-   , 	40 , 	-   
45 -  TRAFFIC ENGINEERING,45200 - TE STLIGHT,Expense,52 - BENEFITS,52714 - LICENSES AND CERTIFICATIONS, 	-   , 	-   , 	40 , 	55 
51 -  PARKS,51150 - PARK COM REC COM SERVICES,Expense,53 - SUPPLIES,53450 - INVENTORY, 	-   , 	-   , 	40 , 	-   
50 -  LIBRARY,50100 - LIB PUBLIC SERVICE,Expense,53 - SUPPLIES,53225 - LIBRARY MATERIALS, 	-   , 	-   , 	41 , 	-   
65 -  PLANNING,65101 - PL NEIGH PLAN PRES DESIGN ADMI,Expense,54 - PURCHASED SERVICES,54515 - MILEAGE, 	-   , 	-   , 	41 , 	-   
65 -  PLANNING,65201 - PL COMP PLAN AND DEVELOP ADMIN,Expense,54 - PURCHASED SERVICES,54515 - MILEAGE, 	-   , 	-   , 	41 , 	-   
62 -  COMMUNITY DEVELOPMENT,62551 - CD DIVISION 27 PRGM ADMIN,Expense,53 - SUPPLIES,53120 - COPY PRINTING SUPPLIES, 	-   , 	-   , 	42 ," 	4,498 "
40 -  ENGINEERING,40110 - ENG ADMIN DIVISION,Expense,53 - SUPPLIES,53165 - BOOKS AND SUBSCRIPTIONS, 	-   , 	-   , 	43 , 	-   
62 -  COMMUNITY DEVELOPMENT,62224 - YOUTH EMPLMT OPPS AND TRAINING,Expense,54 - PURCHASED SERVICES,54121 - CELLULAR TELEPHONE, 	-   , 	-   , 	43 , 	68 
50 -  LIBRARY,50300758 - LIB COL RES & ACCESS SEQUOYA,Expense,53 - SUPPLIES,53413 - EQUIPMENT SUPPLIES, 	-   , 	-   , 	44 , 	-   
51 -  PARKS,51241 - PARK MTC EAST PARKS,Expense,52 - BENEFITS,52420 - HEALTH INSURANCE RETIREE, 	-   , 	-   , 	44 , 	-   
45 -  TRAFFIC ENGINEERING,45105 - TE SIGNING MAINTENANCE,Expense,53 - SUPPLIES,53330 - PLUMBING SUPPLIES, 	-   , 	-   , 	44 , 	-   
45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Expense,53 - SUPPLIES,53325 - HVAC SUPPLIES, 	-   , 	-   , 	45 , 	813 
30 -  FIRE,30122 - FIRE COMMUNITY PARAMEDICINE,Expense,54 - PURCHASED SERVICES,54525 - IN SERVICE TRAINING, 	-   , 	-   , 	46 , 	-   
60 -  BUILDING INSPECTION,60200 - BI HEALTH AND WLFARE,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES, 	-   , 	-   , 	51 , 	-   
45 -  TRAFFIC ENGINEERING,45405 - TE COMM MAINTENANCE,Expense,53 - SUPPLIES,53140 - HARDWARE SUPPLIES, 	-   , 	-   , 	51 , 	-   
65 -  PLANNING,65222 - PL COMP NEIGH SPEC AREA PLAN,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES, 	-   , 	-   , 	54 , 	107 
40 -  ENGINEERING,40112 - ENG ADMIN SERVICE BUILDING MTC,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES, 	-   , 	-   , 	54 , 	-   
44 -  STREETS,44116 - ST TRANSFER STATION OTHER,Expense,53 - SUPPLIES,53413 - EQUIPMENT SUPPLIES, 	-   , 	-   , 	55 , 	-   
30 -  FIRE,30113 - FIRE HEAVY URBAN RESCUE TEAM,Expense,53 - SUPPLIES,53230 - MEDICAL SUPPLIES, 	-   , 	-   , 	56 , 	-   
45 -  TRAFFIC ENGINEERING,45305 - TE PAVE MARK MAINTENANCE,Expense,53 - SUPPLIES,53320 - ELECTRICAL SUPPLIES, 	-   , 	-   , 	56 , 	-   
30 -  FIRE,30280 - FIRE COMMUNITY OUTREACH & EDUC,Expense,51 - SALARIES,51110 - PERMANENT WAGES, 	-   , 	-   , 	59 , 	-   
31 -  POLICE,31115 - MIDTOWN,Expense,53 - SUPPLIES,53413 - EQUIPMENT SUPPLIES, 	-   , 	-   , 	60 , 	79 
45 -  TRAFFIC ENGINEERING,45405 - TE COMM MAINTENANCE,Expense,54 - PURCHASED SERVICES,54810 - OTHER SERVICES AND EXPENSES, 	-   , 	-   , 	60 , 	-   
31 -  POLICE,31155 - TRAFFIC AND SPECIAL SERVICES,Expense,54 - PURCHASED SERVICES,54633 - DELIVERY FREIGHT CHARGES, 	-   , 	-   , 	63 , 	35 
45 -  TRAFFIC ENGINEERING,45200 - TE STLIGHT,Expense,54 - PURCHASED SERVICES,54121 - CELLULAR TELEPHONE, 	-   , 	-   , 	63 , 	657 
51 -  PARKS,51220 - PARK MTC FORESTRY GENERAL,Expense,54 - PURCHASED SERVICES,54120 - TELEPHONE, 	-   , 	-   , 	64 , 	69 
40 -  ENGINEERING,40362 - ENG FAC MGMT DESIGN CONSTRUCT,Expense,51 - SALARIES,51320 - OVERTIME WAGES HOURLY, 	-   , 	-   , 	64 , 	-   
60 -  BUILDING INSPECTION,60400 - BI CONSUMER PROTECTION,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT, 	-   , 	-   , 	69 , 	-   
44 -  STREETS,44334 - ST SNOW MISCELLANEOUS,Expense,54 - PURCHASED SERVICES,54130 - SYSTEMS COMMUNICATION INTERNET, 	-   , 	-   , 	71 , 	794 
31 -  POLICE,31114 - CENTRALIZED FIELD SERVICES,Expense,54 - PURCHASED SERVICES,54330 - EQUIP IMPROV REPAIR MAINT, 	-   , 	-   , 	73 ," 	1,691 "
51 -  PARKS,51160 - PARK COM REC REC SERVICES,Expense,54 - PURCHASED SERVICES,54510 - RECRUITMENT, 	-   , 	-   , 	75 , 	-   
44 -  STREETS,44110 - ST REFUSE COLLECTION,Expense,54 - PURCHASED SERVICES,54120 - TELEPHONE, 	-   , 	-   , 	77 , 	150 
50 -  LIBRARY,50100757 - LIB PUBLIC SERVICE PINNEY,Expense,54 - PURCHASED SERVICES,54810 - OTHER SERVICES AND EXPENSES, 	-   , 	-   , 	79 , 	-   
63 -  ECONOMIC DEVELOPMENT,63220 - EDD OBR VENDING,Expense,53 - SUPPLIES,53145 - SOFTWARE LICENSES & SUPPLIES, 	-   , 	-   , 	79 , 	-   
44 -  STREETS,44501 - ST STREET REPAIR MAINT ADMIN,Expense,54 - PURCHASED SERVICES,54655 - PRINTING SERVICES, 	-   , 	-   , 	80 , 	-   
14 -  COMMON COUNCIL,14100604 - COMMON COUNCIL DIST 4,Expense,54 - PURCHASED SERVICES,54520 - CONFERENCES AND TRAINING, 	-   , 	-   , 	80 , 	189 
50 -  LIBRARY,50400756 - LIB FACILITIES MONROE,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES, 	-   , 	-   , 	82 , 	-   
50 -  LIBRARY,50400753 - LIB FACILITIES ASHMAN,Expense,53 - SUPPLIES,53413 - EQUIPMENT SUPPLIES, 	-   , 	-   , 	85 , 	-   
45 -  TRAFFIC ENGINEERING,45500 - TE SIGNALS,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT, 	-   , 	-   , 	90 ," 	1,032 "
31 -  POLICE,31125 - EAST,Expense,54 - PURCHASED SERVICES,54633 - DELIVERY FREIGHT CHARGES, 	-   , 	-   , 	92 , 	-   
31 -  POLICE,31155 - TRAFFIC AND SPECIAL SERVICES,Expense,52 - BENEFITS,52716 - POST EMPLOYMENT HEALTH PLANS, 	-   , 	-   , 	92 , 	91 
17 -  INFORMATION TECHNOLOGY,17100 - IT APPLICATION DEVELOP SUPPORT,Expense,53 - SUPPLIES,53165 - BOOKS AND SUBSCRIPTIONS, 	-   , 	-   , 	95 , 	4 
31 -  POLICE,31145 - INVESTIGATIVE SUPPORT GENERAL,Expense,53 - SUPPLIES,53165 - BOOKS AND SUBSCRIPTIONS, 	-   , 	-   , 	96 , 	50 
31 -  POLICE,31148 - EMERGENCY PREPAREDNESS,Expense,53 - SUPPLIES,53165 - BOOKS AND SUBSCRIPTIONS, 	-   , 	-   , 	98 , 	-   
51 -  PARKS,51210 - PARK MTC FOREST ADMIN,Expense,54 - PURCHASED SERVICES,54310 - OFFICE EQUIPMENT REPAIR, 	-   , 	-   , 	100 , 	-   
51 -  PARKS,51245 - PARK MTC CONSTRUCTION,Expense,53 - SUPPLIES,53430 - OIL, 	-   , 	-   , 	100 , 	-   
30 -  FIRE,30250 - FIRE INSPECTION GENERAL,Expense,53 - SUPPLIES,53250 - FOOD AND BEVERAGE, 	-   , 	-   , 	100 , 	-   
51 -  PARKS,51244 - PARK MTC MALL CONCOURSE,Expense,54 - PURCHASED SERVICES,54210 - BUILDING IMPROV REPAIR MAINT, 	-   , 	-   , 	100 , 	-   
62 -  COMMUNITY DEVELOPMENT,62551 - CD DIVISION 27 PRGM ADMIN,Expense,54 - PURCHASED SERVICES,54515 - MILEAGE, 	-   , 	-   , 	101 , 	-   
31 -  POLICE,31106 - SET,Expense,54 - PURCHASED SERVICES,54130 - SYSTEMS COMMUNICATION INTERNET, 	-   , 	-   , 	102 , 	106 
40 -  ENGINEERING,40360 - ENG FAC MGMT ADMIN,Expense,53 - SUPPLIES,53413 - EQUIPMENT SUPPLIES, 	-   , 	-   , 	103 , 	-   
45 -  TRAFFIC ENGINEERING,45100 - TE SIGNING,Expense,53 - SUPPLIES,53235 - SAFETY SUPPLIES, 	-   , 	-   , 	107 ," 	1,500 "
45 -  TRAFFIC ENGINEERING,45600 - TE SERVICES,Expense,54 - PURCHASED SERVICES,54515 - MILEAGE, 	-   , 	-   , 	109 , 	-   
45 -  TRAFFIC ENGINEERING,45304 - TE PAVE MARK INSTALL OR REMOVE,Expense,53 - SUPPLIES,53413 - EQUIPMENT SUPPLIES, 	-   , 	-   , 	112 , 	-   
51 -  PARKS,51310 - PARK PLANNING DEVELOP ADMIN,Expense,53 - SUPPLIES,53165 - BOOKS AND SUBSCRIPTIONS, 	-   , 	-   , 	112 , 	48 
30 -  FIRE,30120 - FIRE MEDICAL PROGRAM GENERAL,Expense,53 - SUPPLIES,53165 - BOOKS AND SUBSCRIPTIONS, 	-   , 	-   , 	116 , 	398 
45 -  TRAFFIC ENGINEERING,45500 - TE SIGNALS,Expense,53 - SUPPLIES,53230 - MEDICAL SUPPLIES, 	-   , 	-   , 	120 , 	354 
30 -  FIRE,30250 - FIRE INSPECTION GENERAL,Expense,54 - PURCHASED SERVICES,54330 - EQUIP IMPROV REPAIR MAINT, 	-   , 	-   , 	122 , 	-   
44 -  STREETS,44116 - ST TRANSFER STATION OTHER,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE, 	-   , 	-   , 	124 ," 	18,611 "
14 -  COMMON COUNCIL,14100607 - COMMON COUNCIL DIST 7,Expense,54 - PURCHASED SERVICES,54520 - CONFERENCES AND TRAINING, 	-   , 	-   , 	124 , 	141 
51 -  PARKS,51241 - PARK MTC EAST PARKS,Expense,54 - PURCHASED SERVICES,54510 - RECRUITMENT, 	-   , 	-   , 	125 , 	-   
50 -  LIBRARY,50221751 - LIB COMM ENGAGE YOUTH CENTRAL,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE, 	-   , 	-   , 	128 , 	-   
30 -  FIRE,30110723 - FIRE GEN FIELD OP EMS TRAINING,Expense,53 - SUPPLIES,53413 - EQUIPMENT SUPPLIES, 	-   , 	-   , 	130 , 	-   
62 -  COMMUNITY DEVELOPMENT,62550 - CD DIVISION 26 PRGM ADMIN,Expense,53 - SUPPLIES,53145 - SOFTWARE LICENSES & SUPPLIES, 	-   , 	-   , 	131 , 	364 
50 -  LIBRARY,50100755 - LIB PUBLIC SERVICE MEADOWRIDGE,Expense,54 - PURCHASED SERVICES,54535 - MEMBERSHIPS, 	-   , 	-   , 	134 , 	-   
40 -  ENGINEERING,40250 - ENG MAPPING ADMIN,Expense,51 - SALARIES,51210 - HOURLY WAGES, 	-   , 	-   , 	135 , 	71 
40 -  ENGINEERING,40110 - ENG ADMIN DIVISION,Expense,53 - SUPPLIES,53145 - SOFTWARE LICENSES & SUPPLIES, 	-   , 	-   , 	138 , 	-   
51 -  PARKS,51147 - PARK RANGERS,Expense,54 - PURCHASED SERVICES,54520 - CONFERENCES AND TRAINING, 	-   , 	-   , 	142 , 	400 
