Incident,Date,Incident Type,Address,Updated
"Cat To Blame For Gas Leak Scare","02/17/2016","Gas Leak","300 Block N. Brearly, Madison, WI",""
"Lake Rescue Team Retrieves 2 People, 3 Dogs Off Lake Waubesa","02/15/2016","Lake Rescue","4200 Block Libby Rd./Lake Waubesa, Madison, WI",""
"Two Stuck In Downtown Elevator After Kicking Control Panel","02/13/2016","Elevator","400 Block N. Frances St, Madison, WI",""
"Engine 5 Called To Check Out RV Battery On North St.","02/13/2016","Vehicle","500 Block North St, Madison, WI",""
"Everybody Safe After E. Gorham Fire Displaces At Least 10 People","02/13/2016","Structure","100 Block E. Gorham St, Madison, WI","Updated: 02/17/2016"
"East Side Teens Set Fire to Cardboard","02/13/2016","Outdoor","1000 Block Mayfair Ave, Madison, WI",""
"Fire Causes Major Damage at West Side Restaurant","02/12/2016","Structure","5000 Block University Ave, Madison, WI","Updated: 04/22/2016"
"Firefighters Knock Down Vehicle Fire In Whitney Way Parking Lot","02/11/2016","Vehicle","600 Block S. Whitney Way, Madison, WI",""
"Firefighters Inspect For Carbon Monoxide After Homeowner Falls Ill","02/11/2016","Carbon Monoxide","Bonner Lane, Madison, WI",""
"Cast-Off Coat Activates Toaster In UW Dorm Room","02/10/2016","Appliance","1500 Block Tripp Circle, Madison, WI",""
"Cracked Baking Stone Causes Small Grease Fire","02/09/2016","Cooking","5000 Block Stonehaven Dr, Madison, WI",""
"Plastic Utensils Melt Inside Oven","02/09/2016","Cooking","4700 Block Sheboygan Ave, Madison, WI",""
"Engine 9 Called To Investigate Chemical Odor Inside Home","02/08/2016","Hazmat","5100 Block Shawano Ave, Madison, WI",""
"Intoxicated Cooking To Blame For Early-Morning Wake-Up Call","02/07/2016","Cooking","E. Gilman Street, Madison, WI",""
"Christmas Tree Fire Puts End To Large Party on Park Street","02/06/2016","Outdoor","1800 Block S. Park St, Madison, WI",""
"MFD Responds To Head-On Crash On Verona Rd.","02/06/2016","Vehicle","4500 Block Verona Rd, Madison, WI",""
"Concession Operations Temporarily Halted After Popcorn Fire","02/06/2016","Cooking","1700 Block Wright Street, Madison, WI",""
"Dryer Fire Extinguished On Winnebago Street","02/06/2016","Appliance","2000 Block Winnebago St, Madison, WI",""
"MFD Sent To Town Of Burke For Special Rescue","02/04/2016","Special Rescue","5400 Block Express Circle, Town of Burke, WI",""
"No Fire Found After Firefighters Investigate Odor at Boston Store","02/03/2016","Smoke Scare","West Towne Way, Madison, WI",""
"Basement Smoke Sends MFD To Nursing Home","02/03/2016","Excessive heat/scorch","100 Block Belmont Rd, Madison, WI",""
"Compromised Propane Fuel Line Sends Firefighters to Prairie Ave.","02/02/2016","Outdoor","3500 Block Prairie Ave, Madison, WI",""
"Chimney Collapses In Greenbush Neighborhood","01/30/2016","Structure","600 Block S. Orchard St, Madison, WI",""
"Security Reports Possible Gas Leak at Downtown Apartment Complex","01/30/2016","Gas Leak","1000 Block W. Johnson St, Madison, WI",""
"MFD Investigates Burning Smell at Van Hise Hall","01/29/2016","Electrical","1200 Block Linden Dr, Madison, WI",""
"Blocked Oven Vents Bake Up Carbon Monoxide On North Side","01/28/2016","Carbon Monoxide","Sherman Terrace, Madison, WI",""
"Cause Of Memorial Union Attic Fire Under Investigation","01/28/2016","Structure","800 Block Langdon St, Madison, WI","Updated: 02/02/2016"
"Smoke Scare Sends Firefighters to Concourse Hotel","01/28/2016","Smoke Scare","W. Dayton St, Madison, WI",""
"Birds Nest Catches Fire Along PDQ Awning","01/27/2016","Excessive heat/scorch","4400 Block E. Buckeye Road, Madison, WI",""
"Cause Of North Side Vehicle Fire Under Investigation","01/27/2016","Vehicle","Vera Court at School Road, Madison, WI",""
"DOC Facility Evacuated After Cleaning Chemicals Mix","01/26/2016","Hazmat","5700 Block Odana Rd, Madison, WI",""
"MFD HazMat Team responds to Fuel Spill in Mt. Horeb","01/25/2016","Hazmat","Highway 151, County Highway J Dairy Ridge Road, Mt Horeb, WI",""
"Firefighters, MG&E Investigate Odor at East Side Walmart","01/24/2016","Appliance","4100 Block Nakoosa Trail, Madison, WI",""
"MFD Called To University Ave. Apartment","01/24/2016","Electrical","2100 Block University Ave, Madison, WI",""
"Smoke Alarm in Mobile Home Alerts Family of Four","01/24/2016","Structure","40 Block Rustic Ridge Parkway, Madison, WI 53716",""
"Tent Burns Down On East Side, Nobody Injured","01/23/2016","Candle","Zeier Rd, Madison, WI",""
"Heavy Smoke and Flames, Firefighters Battle House Fire in 20 Degree Weather","01/23/2016","Structure","1400 Block Reetz Road, Madison, WI 53711",""
"Five People Rescued From Downtown Elevator","01/22/2016","Elevator","N. Park Street, Madison, WI",""
"Firefighters Extinguish Apartment Fire","01/22/2016","Structure","10 Block N Burberry Dr, Madison, WI",""
"Ice Fisherman Rescued from Lake Mendota","01/20/2016","Lake Rescue","2100 Block Allen Blvd, Madison, WI 53705",""
"The Merchant Suffers Minimal Fire Damage","01/19/2016","Cooking","100 Block S. Pinckney Street, Madison, WI 53703",""
"Faulty Sprinkler Causes Water Damage at Health Clinic","01/18/2016","Structure","3200 Block Dryden Dr, Madison, WI",""
"Fire Wipes Out Chicken Coop, Spreads To Garage on Southeast Side","01/17/2016","Structure","Treichel St, Madison, WI",""
"One Rescued From Stalled Downtown Elevator","01/14/2016","Elevator","500 Block W. Johnson St, Madison, WI",""
"Mysterious Burning Smell Uncovers Furnace Problem On East Side","01/12/2016","Appliance","5000 Block Camden Rd, Madison, WI",""
"Firefighters Reunite Mom and Baby After Vehicle Lockout","01/12/2016","Vehicle","200 Block Junction Rd, Madison, WI",""
"Madison Firefighters Called To North Side Fire","01/10/2016","Structure","2400 Block Calypso Rd, Madison, WI",""
"Two Extinguish Kitchen Fire On Southwest Side","01/09/2016","Cooking","8100 Block Mayo Dr, Madison, WI",""
"MFD Searches For Smoke Source At West Side Restaurant","01/08/2016","Electrical","5600 Block Schroeder Rd, Madison, WI",""
"Couple Escapes Carbon Monoxide Leak Thanks To Working Detector","01/07/2016","Carbon Monoxide","Jason Place, Madison, WI",""
"Kitchen Fire Causes Significant Damage at Porchlight Community Housing","01/06/2016","Cooking","300 Block N. Brooks St, Madison, WI",""
"Burning Boughs Spark Concern On West Side","01/05/2016","Structure","Idledale Circle, Madison, WI",""
"North Side Restaurant Severely Damaged By Vehicle Crash","01/04/2016","Vehicle","1300 Block Northport Dr, Madison, WI",""
"Greasy Buildup Leads To Cooking Complications On Southwest Side","01/03/2016","Cooking","5800 Block Raymond Rd, Madison, WI",""
"North Side Restaurant Fire Under Investigation","01/02/2016","Structure","3000 Block Sherman Ave, Madison, WI","Updated: 01/07/2016"
"Small Fire On West Side Causes Extensive Smoke Damage","01/02/2016","Structure","Coronado Ct, Madison, WI",""
"Firefighters Extinguish Basement Fire In East Side Home","12/26/2015","Structure","400 Block Russell Street, Madison, WI 53704","Updated: 12/28/2015"
"Unattended Cooking Results In Smoke Damage On West Side","12/21/2015","Cooking","6200 Block Mineral Point Rd, Madison, WI",""
"Obstructed Chimney To Blame For Carbon Monoxide Scare","12/21/2015","Carbon Monoxide","Acacia Ln, Madison, WI",""
"Construction Materials Ignite, Causing Rooftop Fire on Park St.","12/19/2015","Structure","600 Block S. Park St, Madison, WI",""
"High Winds Leave Madison Man Stranded On Rooftop","12/16/2015","Special Rescue","Forge Dr, Madison, WI",""
"West Side Vehicle Fire Remains Under Investigation","12/15/2015","Vehicle","Berkshire Rd, Madison, WI",""
"One Displaced, Nobody Injured In East Side Fire","12/14/2015","Candle","1100 Block MacArthur Rd, Madison, WI",""
"Cigarette Smoking Leads To Small Mattress Fire","12/13/2015","Smoking","500 Block E. Dean Ave, Madison, WI",""
"Chimney Fire Contained, Extinguished On South Side","12/12/2015","Structure","Madison, WI",""
"Firefighters Assist Locked-Out Mom As Toddler Sleeps","12/10/2015","Special Rescue","1800 Block Fordem Ave, Madison, WI",""
"Firefighters Rescue Man Who Fell Through Bathroom Floor","12/09/2015","Special Rescue","Westbrook Cr, Madison, WI",""
"Firefighters Check Apparent Gas Leak On East Side","12/08/2015","Gas Leak","Venetian Ln, Madison, WI",""
"Smoke Investigation Uncovers Need For Detectors In East Side Home","12/08/2015","Smoke Scare","2700 Block Hoard St, Madison, WI",""
"Large Fire Totals Insulation Service Truck on East Side","12/08/2015","Appliance","Vondron Rd./Melinda Dr, Madison, WI",""
"Engine 1 Knocks Down Vehicle Fire On John Nolen Dr.","12/06/2015","Vehicle","John Nolen Dr./E. Lakeside St, Madison, WI",""
"Smoke Fills West Side Building; Unattended Cooking The Cause","12/03/2015","Cooking","800 Block Kottke Dr, Madison, WI",""
"Firefighters, Paramedics Tend To Large Spill At West Side Gas Station","12/02/2015","Hazmat","Madison, WI",""
"One Rescued From Elevator Following Smoke Alarm Activation","12/02/2015","Elevator","400 Block W. Washington Ave, Madison, WI",""
"Cause Of West Side Car Fire Unknown","12/01/2015","Vehicle","3200 Block Stonecreek Dr, Madison, WI",""
"Gas Leak Sparks Small Kitchen Fire At West Side Restaurant","11/29/2015","Gas Leak","5400 Block Schroeder Rd, Madison, WI",""
"Unattended Cooking Fire Causes Minor Damage On Thompson Dr.","11/24/2015","Cooking","300 Block N. Thompson Dr, Madison, WI",""
"Alarms At Camp Randall Point To Broken Pipe","11/24/2015","Structure","1400 Block Monroe St, Madison, WI",""
"Gasoline Smell Uncovers A Leak In University Ave. Garage","11/22/2015","Vehicle","2100 Block University Ave, Madison, WI",""
"Stick Of Butter Melts Into Small Fire On Oakridge Ave.","11/22/2015","Cooking","3100 Block Oakridge Ave, Madison, WI",""
"Firefighters Educate Kids About Dangers Of Leaf Burning","11/20/2015","Outdoor","1600 Block Packers Ave, Madison, WI",""
"Crash Involving Multiple Semis Shuts Down Interstate Overnight","11/19/2015","Vehicle","I90 Eastbound, Madison, WI",""
"Two Displaced Following Grease Fire on East Side","11/17/2015","Cooking","900 Block Vernon Ave, Madison, WI",""
"Engine 10 Assists New Mom After Lockout","11/17/2015","Vehicle","2000 Block Northport Dr, Madison, WI",""
"Ladder Tower 8 Assists Ill Person Off Of Rooftop","11/16/2015","Special Rescue","S. Stoughton Rd, Madison, WI",""
"MFD Receives Multiple Calls For Yard Waste Fires","11/15/2015","Outdoor","Tennessee Trl; Maple Run Dr, Madison, WI",""
"Outdoor Sauna Fire Box Melts On Near West Side","11/14/2015","Structure","Grand Ave, Madison, WI",""
"Hub Apartments Temporarily Evacuated Due To Dumpster Fire","11/13/2015","Structure","400 Block N. Frances St, Madison, WI",""
"Driver Takes Off With Fuel Pump, Causing Small Gas Spill","11/11/2015","Hazmat","2400 Block W. Broadway, Madison, WI",""
"Short-Circuiting Space Heater Creates Small Blaze In West Side Home","11/11/2015","Structure","1400 Block W. Skyline Dr, Madison, WI",""
"MFD and MG&E Respond To West Side Gas Leak","11/10/2015","Gas Leak","Burberry Dr, Madison, WI",""
"Engine 8 Knocks Down Vehicle Fire on Stoughton Rd.","11/09/2015","Vehicle","2100 Block N. Stoughton Rd, Madison, WI",""
"Engine 13 Swiftly Responds To Fully-Involved Vehicle Fire","11/08/2015","Vehicle","Jubilee Cr, Madison, WI",""
"Malfunctioning Elevator Pump Sends Firefighters To University Ave.","11/06/2015","Structure","5000 Block University Ave, Madison, WI",""
"Smoke On West Side Points Toward Outdoor Leaf Burning","11/05/2015","Outdoor","Country Grove Dr, Madison, WI",""
"Resident Only Gone 15 Minutes Before MFD Is Called For Burning Food","11/01/2015","Cooking","Starflower Dr, Madison, WI",""
"Stovetop Fire Leaves Behind $50,000 Of Damage, No Injuries","10/30/2015","Cooking","1600 Block N. Thompson Drive, Madison, WI",""
"Worn Power Lines Spark Calls to Ziegler Rd.","10/28/2015","Outdoor","700 Block Ziegler Rd, Madison, WI",""
"Crews Check On Ill Caller, Discover Carbon Monoxide","10/28/2015","Structure","Progress Dr, Madison, WI",""
"Overloaded Wash Machine Stirs Up Smoke On Langdon","10/27/2015","Appliance","600 Block Langdon St, Madison, WI",""
"Hazmat Team Returns To O’Keeffe Middle School, Identifies Source of Airborne Irritant","10/27/2015","Hazmat","500 Block S. Thornton Ave, Madison, WI",""
"Crews Respond to Vehicle Fire Outside City-County Building","10/26/2015","Vehicle","200 Block S. Carroll St, Madison, WI",""
"O’Keeffe Middle School Temporarily Evacuated for Hazmat Investigation","10/26/2015","Hazmat","500 Block S. Thornton Ave, Madison, WI",""
"One Displaced Following Kitchen Fire On Karstens Dr.","10/25/2015","Cooking","3700 Block E. Karstens Dr, Madison, WI",""
"Planter Compost Ignites On Big Dipper Dr.","10/23/2015","Outdoor","6000 Block Big Dipper Dr, Madison, WI",""
"Crews Soak Small Fire at Downtown Intersection","10/21/2015","Outdoor","500 Block W. Washington Ave, Madison, WI",""
"Electrical Short Causes Small Fire At Downtown Office Complex","10/21/2015","Structure","200 Block W. Washington Ave, Madison, WI",""
"Active Smoke Alarm Sends Firefighters to Would-Be Kitchen Fire","10/19/2015","Cooking","3200 Block Bluff St, Madison, WI",""
"Discarded Cigarettes To Blame For Small Grass Fire","10/19/2015","Outdoor","Whitney Way & Eastbound Beltline, Madison, WI",""
"Two Flee the Scene of Burning Barrel After Police Arrive","10/17/2015","Outdoor","500 Block State St, Madison, WI",""
"Fire Crews Find Active Flames Inside Stove Pipe","10/17/2015","Structure","2800 Block Union St, Madison, WI",""
"Downtown Tenants Escape Carbon Monoxide Threat","10/15/2015","Cooking","10 Block S. Broom St, Madison, WI",""
"Firefighters Quell Vehicle Fire While Owner At Work","10/13/2015","Vehicle","6000 Block American Parkway, Madison, WI",""
"Crews Called After Children Set Fire to Phone Book","10/12/2015","Structure","5800 Block Russett Rd, Madison, WI",""
"Artist's Kiln Generates Small Fire In Dining Room","10/10/2015","Structure","2300 Block Regent St, Madison, WI",""
"Firefighters Assist with Gas Leak at Memorial Union","10/10/2015","Outdoor","800 Block Langdon St, Madison, WI",""
"Source of Smoke In Columbus Ln. Building Still A Mystery","10/09/2015","Structure","2400 Block Columbus Ln, Madison, WI",""
"Burning Cardboard Box Kicks Up Smoke in Northside Neighborhood","10/09/2015","Unauthorized Burning","1300 Block N. Sherman Ave, Madison, WI",""
"Two Displaced Following Forest St. Condo Fire","10/09/2015","Structure","300 Block Forest St, Madison, WI","Updated: 10/10/2015"
"Wrong Turn Of the Stovetop Knob Sends Crews to Old Middleton Rd.","10/08/2015","Cooking","5000 Block Old Middleton Rd, Madison, WI",""
"Crews Called To Check On Lab Chemical Spill","10/08/2015","Hazmat","30 Block S. Brooks St, Madison, WI",""
"Smoke Odor Investigation Turns Up Burning Leaves","10/07/2015","Unauthorized Burning","5100 Block Starker Ave, Madison, WI",""
"Firefighters Called to Ventilate Smoky Apartment","10/07/2015","Cooking","500 Block N. Lawn Ave, Madison, WI",""
"West Side Resident Smells Smoke Following Power Outage","10/07/2015","Structure","800 Block N. Gammon Rd, Madison, WI",""
"Engine 8 Returns to Ziegler Rd. for Outside Fire","10/06/2015","Unauthorized Burning","700 Block Ziegler Rd, Madison, WI",""
"One Injured In Rollover Crash on West Side","10/06/2015","Vehicle","Mineral Point Rd./S. High Point Rd, Madison, WI",""
"Preheating Oven Starts Small Fire on Jenifer St.","10/03/2015","Cooking","1400 Block Jenifer St, Madison, WI",""
"East Side Resident Contains Dryer Fire Until Firefighters Arrive","10/03/2015","Appliance","100 Block E. Dean Ave, Madison, WI",""
"Vehicle Fire Almost Steals the Show at Breese Stevens Field","10/02/2015","Vehicle","900 Block E. Washington Ave, Madison, WI",""
"Firefighters Called To Unauthorized Leaf Burning on East Side","10/02/2015","Unauthorized Burning","700 Block Ziegler Rd, Madison, WI",""
"Firefighters Respond to Smoke Odor, Find Resident Asleep","09/29/2015","Cooking","2300 Block Carling Dr, Madison, WI",""
"Passerby Reports and Extinguishes Outdoor Fire on North Side","09/29/2015","Outdoor","Dakota Dr. at Arizona Pass, Madison, WI",""
"Kitchen Fire Temporarily Shuts Down East Side Restaurant","09/29/2015","Cooking","4700 Block Cottage Grove Rd, Madison, WI",""
"Citizen Walk-Up Alerts Firefighters Of Vehicle Fire","09/27/2015","Vehicle","3900 Block Lien Rd, Madison, WI",""
"Family Asked To Put Out Large Debris Fire","09/26/2015","Unauthorized Burning","7000 Block Colony Dr, Madison, WI",""
"Firefighters Check On Gasoline Leak On West Side","09/25/2015","Vehicle","5300 Block Oak Crest, Madison, WI",""
"Firefighters Crawl Through Window To Respond To Active Alarm","09/25/2015","Cooking","900 Block Jenifer St, Madison, WI",""
"Four Displaced Following Overnight Basement Fire","09/23/2015","Structure","6900 Block Stockbridge, Madison, WI","Updated: 09/24/2015"
"Firefighters Investigate Sparking Appliance During UW Fire Drill","09/23/2015","Structure","1600 Block Observatory Dr, Madison, WI",""
"Crews Clear Smoke From West Side Home, Chimney","09/23/2015","Structure","4200 Block Rolla Ln, Madison, WI",""
"One Taken by Med Flight Following McKee Rd. Crash","09/23/2015","Special Rescue","McKee Rd. at S. Pleasant View Rd, Madison, WI",""
"Fire In Downtown Garbage Disposal Contained By Broken Water Line","09/22/2015","Structure","100 Block W. Washington Ave, Madison, WI",""
"Downtown Resident Sleeps As Food Burns Inside the Oven","09/21/2015","Cooking","300 Block N. Blair, Madison, WI",""
"Fish Oils Ignite Small Oven Fire on East Side","09/20/2015","Cooking","1500 Block Wayridge Dr, Madison, WI",""
"Electrical Problems Lead to Smoke, Power Outage on UW Campus","09/19/2015","Structure","1200 Block W. Dayton St, Madison, WI",""
"HazMat Team Called To Examine Suspicious Mail","09/18/2015","Hazmat","200 Block Martin Luther King, Jr. Blvd, Madison, WI",""
"MFD Dispatched To East Side Vehicle Fire","09/18/2015","Vehicle","4200 Block Commercial Ave, Madison, WI",""
"Lightning Strikes West Side Home, Causes Small Fire","09/17/2015","Structure","6000 Block Raymond Rd, Madison, WI",""
"Firefighters Douse Burning Food Inside Empty Apartment","09/13/2015","Cooking","2000 Block Fisher St, Madison, WI",""
"VFW Fire Causes $100,000 in Damage","09/12/2015","Structure","100 Block of E. Lakeside Street, Madison, WI",""
"Nobody Injured In West Side Kitchen Fire","09/10/2015","Cooking","Pintail Cir, Madison, WI",""
"Alert Passersby Prevent Trash Can Fire at UW Hospital","09/10/2015","Smoking","600 Block Highland Ave, Madison, WI",""
"Six Homes Evacuated After Odor Reported By Homeowners","09/09/2015","Hazmat","100 Block N. First St, Madison, WI",""
"Malfunctioning Kitchen Fan Causes Small Fire Downtown","09/09/2015","Cooking","400 Block W. Mifflin St, Madison, WI",""
"Kitchen Fire Closes Downtown Restaurant","09/06/2015","Structure","100 Block W. Wilson St, Madison, WI",""
"Faulty Fuse Leads To Vehicle Fire On the Interstate","09/04/2015","Vehicle","I90 Westbound, Madison, WI",""
"Apartment Dwellers Asked to Take Down Tiki Torches","09/02/2015","Unauthorized Burning","4300 Block Melody Ln, Madison, WI",""
"Sprinkler Minimizes Fire Damage on Jupiter Drive","09/02/2015","Cooking","600 Block Jupiter Dr, Madison, WI",""
"Driver Extinguishes Vehicle Fire on Beltline","08/31/2015","Vehicle","USH 12 Westbound at S. Park Street, Madison, WI",""
"Dirty Lint Trap Leads to Damaged Clothing Downtown","08/28/2015","Appliance","10 Block E. Gorham St, Madison, WI",""
"Minor Damage Caused By Smoldering Sawdust on East Side","08/28/2015","Structure","2300 Block Daniels Street, Madison, WI",""
"Two Canoeists Saved By MFD Lake Rescue Team","08/23/2015","Lake Rescue","3400 Block Atwood Ave, Olbrich Public Launch on Lake Monona, Madison, WI",""
"Concerned Neighbor Calls MFD for Sounding Smoke Alarm","08/23/2015","Cooking","1000 Block Middleton St, Madison, WI",""
"Discarded Cigarettes Burn Through Wooden Deck on East Side","08/22/2015","Structure","900 Block Rockefeller Ln, Madison, WI",""
"Junked Vehicles Catch Fire at Recycling Center","08/22/2015","Vehicle","4400 Block Sycamore Ave, Madison, WI",""
"Paramedics Encounter Grass Fire on North Side","08/22/2015","Outdoor","Melrose St. / N. Sherman Ave, Madison, WI",""
"Madison Firefighters Extinguish Fire at Old #6 on South Park Street","08/22/2015","Structure","900 Block of S. Park St, Madison, WI",""
"Engine 4 Douses Vehicle Fire on Monroe Street","08/20/2015","Vehicle","3100 Block Monroe St, Madison, WI",""
"Firefighters Find 'Peas Reduced to Charcoal' inside Willy St. Apartment","08/18/2015","Cooking","900 Block of Williamson St, Madison, WI",""
"Residents Displaced Following Severe Flooding on Fordem Ave.","08/14/2015","Special Rescue","1600 Block Fordem Ave, Madison, WI",""
"Unattended Kitchen Fire Displaces Two on North Side","08/13/2015","Cooking","600 Block Vera Court, Madison, WI",""
"Driver Hears "Boom" Just Before Flames Appear While Driving on Interstate","08/13/2015","Vehicle","W I90 Highway, Madison, WI",""
"One Taken to Hospital Following Crash on East Beltline Highway","08/12/2015","Vehicle","U.S. Highway 12 at Todd Drive, Madison, WI",""
"Firefighters Respond to Multiple Trash Fires in Downtown Neighborhood","08/09/2015","Outdoor","W. Washington Ave./Broom St, Madison, WI",""
"No Injuries Reported After Car Strikes Building, Catches Fire","08/08/2015","Vehicle","3200 Block E. Washington Ave, Madison, WI",""
"Family Safely Evacuates After Smoke Alarm Alerts Of Fire","08/06/2015","Structure","600 Block San Juan Trl, Madison, WI","Updated: 08/07/2015"
"Firefighters Prevent Active Cooking Fire Thanks to Key Vault","08/05/2015","Cooking","7100 Block Flower Ln, Madison, WI",""
"Madison and Sun Prairie Fire Departments Team Up Against Grass Fires Along the Interstate","08/03/2015","Outdoor","I90 Westbound, Sun Prairie, WI",""
"Nobody Injured After One Falls Asleep With Cigarette","08/03/2015","Smoking","Bel Aire Drive, Blooming Grove, WI",""
"Large Industrial Metal Shredder Catches Fire On City's East Side","08/03/2015","Structure","4400 Block Sycamore Ave, Madison, WI","Updated: 08/04/2015"
"Nobody Home When Firefighters Respond to Cooking Fire","07/29/2015","Cooking","Braxton Place, Madison, WI",""
"Odor Investigation Leads Firefighters To East Side Fire Pit","07/28/2015","Outdoor","1200 Block Jenifer Street, Madison, WI",""
"Cause of East Side Motorcycle Fire Still Unknown","07/25/2015","Vehicle","3200 Block Ridgeway Ave, Madison, WI",""
"Plastic Found Amid Clothes in Reported Dryer Fire","07/24/2015","Appliance","Talmadge Street, Madison, WI",""
"Firefighters Knock Down West Side Structure Fire","07/24/2015","Structure","4200 Block Beverly Rd, Madison, WI","Updated: 07/28/2015"
"Hay Bale and Equipment Catch Fire on Southeast Side","07/24/2015","Vehicle","3800 Block Kipp St, Madison, WI",""
"HazMat Team Called To Chemical Spill in De Forest","07/24/2015","Hazmat","800 Block Burton Blvd, De Forest, WI",""
"Westside Neighborhood Shaken By Explosion; Cause Under Investigation","07/22/2015","Outdoor","8100 Block Starr Grass Dr, Madison, WI",""
"Engine 3 Reminds Residents Not To Grill On Balconies","07/19/2015","Unauthorized Burning","1600 Block Fordem Ave, Madison, WI",""
"Discarded Charcoals Ignite Garbage Can Fire on North Side","07/19/2015","Outdoor","Vera Ct. at School Rd, Madison, WI",""
"East Side Resident Smells Smoke, Calls For Help Right Away","07/17/2015","Structure","Dixon Street, Madison, WI",""
"Damaged Vehicle Starts On Fire While On Tow Truck","07/17/2015","Vehicle","1600 Block Beld St, Madison, WI",""
"HazMat Team Clears Home Of Indoor Irritant","07/16/2015","Hazmat","6300 Block Landfall Dr, Madison, WI",""
"Neighbor Alerts West Side Resident To Garage Fire","07/15/2015","Structure","Ponwood Circle, Madison, WI","Updated: 07/21/2015"
"Overcooked Ribs Send Engine 4 To Near West Side","07/15/2015","Cooking","Spooner Street, Madison, WI",""
"Firefighters Respond to West Side Vehicle Fire","07/15/2015","Vehicle","6800 Block Schroeder Rd, Madison, WI",""
"Exploding Oven Door Strikes, Knocks Down Northside Resident","07/12/2015","Cooking","1100 Block N. Sherman Ave, Madison, WI",""
"Unknown Cause In Small Fire at Community Garden","07/12/2015","Outdoor","700 Block W. Main St, Madison, WI",""
"Broilers Mistaken For Oven Drawers Cause Two Downtown Fires","07/12/2015","Cooking","300 Block W. Johnson St, Madison, WI",""
"MFD Responds To Multiple Dumpster Fires At Eastside Construction Site","07/09/2015","Outdoor","1200 Block East Washington Ave, Madison, WI",""
"Unattended Cooking Fire Displaces One On West Side","07/06/2015","Cooking","6800 Block Park Ridge Dr, Madison, WI",""
"Food Cart Catches Fire While In Transit on North Side","07/06/2015","Cooking","Burke Ave. at Christianson Ave, Madison, WI",""
"Fireworks Found Near Burning Dumpster","07/04/2015","Outdoor","100 Block Wittwer Rd, Madison, WI",""
"Firefighters Respond to Northside Trailer Fire","06/28/2015","Vehicle","700 Block Ruskin St, Madison, WI",""
"Live Stovetop Burner Ignites Fire In West Side Apartment","06/28/2015","Structure","9400 Block Silicon Prairie Parkway, Madison, WI",""
"East Side Fire Pit Lacked Proper Protection","06/27/2015","Outdoor","500 Block N. Sixth St, Madison, WI",""
"Firefighters Respond to Smoldering Stovetop on West Side","06/25/2015","Cooking","6700 Block Jacobs Way, Madison, WI",""
"Careless Ash Disposal Causes Vehicle Fire On East Side","06/24/2015","Vehicle","4600 Block East Washington Ave, Madison, WI",""
"Traffic Crash Leads to Chemical Spill on Sherman Ave.","06/24/2015","Hazmat","Sherman Ave. at Northport Dr, Madison, WI",""
"Cooking Fire Leads To Minor Injuries on Southwest Side","06/23/2015","Cooking","Maple Valley Drive, Madison, WI",""
"Unauthorized Burning On East Side","06/23/2015","Outdoor","Hoard Street, Madison, WI",""
"Firefighters Find Burnt Plastic Inside Microwave","06/23/2015","Cooking","900 Block High Point Rd, Madison, WI",""
"Basement Fire on Schroeder Rd","06/22/2015","Structure","6700 Block Schroeder Rd, Madison, WI",""
"Cause Of Fish Hatchery Trash Can Fire Undetermined","06/22/2015","Outdoor","1900 Block Fish Hatchery Rd, Madison, WI",""
"Ladder 7 Responds to West Side Grease Fire","06/21/2015","Cooking","Laramie Ct, Madison, WI",""
"Smoldering Building Material Doused On East Side","06/19/2015","Structure","3800 Block E. Washington Ave, Madison, WI",""
"Trash Can Extinguished On Capitol Square","06/18/2015","Outdoor","Madison, WI",""
"Damaged Power Line Leads To Smoldering Tree On Near West Side","06/12/2015","Outdoor","Craig Ave, Madison, WI",""
"Firefighters Respond To Westside Microwave Fire","06/10/2015","Cooking","9200 Block Weatherstone Rd, Madison, WI",""
"YWCA Evacuated For 5th Floor Fire","06/10/2015","Structure","100 Block E. Mifflin, Madison, WI",""
"Toaster Stored Inside Oven Causes Small Fire","06/07/2015","Structure","2600 Block S. Stoughton Rd, Madison, WI",""
"Groceries Catch On Fire In Eastside Apartment","06/06/2015","Structure","2600 Block Camden Rd, Madison, WI",""
"Divers Search for Missing Swimmer","06/06/2015","Lake Rescue","800 Block Langdon St, Madison, WI",""
"Neighbor Helps Extinguish Small Deck Fire","06/06/2015","Outdoor","1000 Block Emerald Street, Madison, WI",""
"Firefighters Called To Unattended Fire Pit","06/06/2015","Outdoor","3800 Block Sunbrook Rd, Madison, WI",""
"Smoke Leads Firefighters To Unattended Stovetop","06/05/2015","Cooking","100 Block N. Bassett St, Madison, WI",""
"Cause Unknown In West-Side Vehicle Fire","06/04/2015","Vehicle","6200 Block Mineral Point Rd, Madison, WI",""
"Construction Site Dumpster Fire Contained With Extinguishers, Water","06/04/2015","Outdoor","2900 Block Haight Rd, Madison, WI",""
"Cigarette Butts Likely The Cause Of Northside Fire","06/03/2015","Structure","1800 Block Fordem Ave, Madison, WI",""
"Firefighters Respond To Downtown Oven Fire","06/03/2015","Cooking","600 Block W. Wilson St, Madison, WI",""
"Discarded Charcoal Found Burning In West-Side Dumpster","05/31/2015","Outdoor","3100 Block Muir Field Rd, Madison, WI",""
"Explosion In Garbage Truck Leads To Small Fire On North Side","05/29/2015","Outdoor","Heath Ave. & Loftsgordon Ave, Madison, WI",""
"Bird's Nest Catches Fire On West Side","05/27/2015","Outdoor","Madison, WI",""
